id,plate,well,nutrients,treatment,day,LM,SP,WB
54,I,6,high,SP,8,,478.351,
54,I,6,high,SP,10,,652.257,
68,L,2,high,SP,0,,90.344,
68,L,2,high,SP,2,,119.915,
68,L,2,high,SP,4,,119.915,
68,L,2,high,SP,6,,317.201,
68,L,2,high,SP,8,,416.315,
68,L,2,high,SP,10,,557.775,
71,L,5,low,SP,0,,122.693,
71,L,5,low,SP,2,,153.886,
71,L,5,low,SP,4,,153.886,
71,L,5,low,SP,6,,204.947,
71,L,5,low,SP,8,,220.1,
71,L,5,low,SP,10,,216.268,
85,O,1,low,SP,0,,47.055,
85,O,1,low,SP,2,,51.503,
85,O,1,low,SP,4,,51.503,
85,O,1,low,SP,6,,66.803,
85,O,1,low,SP,8,,69.45,
85,O,1,low,SP,10,,78.567,
88,O,4,high,SP,0,,63.006,
88,O,4,high,SP,2,,70.388,
88,O,4,high,SP,4,,70.388,
88,O,4,high,SP,6,,129.422,
88,O,4,high,SP,8,,204.955,
88,O,4,high,SP,10,,312.065,
13,C,1,low,SPWB,0,,40.362,26.237
13,C,1,low,SPWB,2,,63.977,52.399
13,C,1,low,SPWB,4,,63.977,52.399
13,C,1,low,SPWB,6,,78.964,41.477
13,C,1,low,SPWB,8,,76.818,34.922
13,C,1,low,SPWB,10,,69.741,26.956
16,C,4,high,SPWB,0,,57.518,32.571
16,C,4,high,SPWB,2,,82.801,59.557
16,C,4,high,SPWB,4,,82.801,59.557
16,C,4,high,SPWB,6,,222.464,192.569
16,C,4,high,SPWB,8,,296.38,182.298
16,C,4,high,SPWB,10,,333.935,164.468
27,E,3,low,SPWB,0,,31.948,43.272
27,E,3,low,SPWB,2,,38.422,57.509
27,E,3,low,SPWB,4,,38.422,57.509
27,E,3,low,SPWB,6,,40.825,44.169
27,E,3,low,SPWB,8,,46.71,48.218
27,E,3,low,SPWB,10,,44.962,43.189
30,E,6,high,SPWB,0,,39.926,53.977
30,E,6,high,SPWB,2,,49.916,76.558
30,E,6,high,SPWB,4,,49.916,76.558
30,E,6,high,SPWB,6,,118.717,174.006
30,E,6,high,SPWB,8,,167.872,239.733
30,E,6,high,SPWB,10,,224.168,216.113
44,H,2,high,SPWB,0,,44.035,33.285
44,H,2,high,SPWB,2,,53.873,48.059
44,H,2,high,SPWB,4,,53.873,48.059
44,H,2,high,SPWB,6,,130.755,146.389
44,H,2,high,SPWB,8,,208.866,232.619
44,H,2,high,SPWB,10,,287.546,266.659
47,H,5,low,SPWB,0,,48.93,48.668
47,H,5,low,SPWB,2,,59.518,57.165
47,H,5,low,SPWB,4,,59.518,57.165
47,H,5,low,SPWB,6,,62.696,54.085
47,H,5,low,SPWB,8,,70.199,56.595
