Plate,Well ,Nutrients,Treatment,area_LM_day00,area_SP_day00,area_WB_day00,area_TOT_day00,comp_LM_day00,comp_SP_day00,comp_WB_day00,area_LM_day02,area_SP_day02,area_WB_day02,area_TOT_day02,comp_LM_day02,comp_SP_day02,comp_WB_day02,area_LM_day04,area_SP_day04,area_WB_day04,area_TOT_day04,comp_LM_day04,comp_SP_day04,comp_WB_day04,area_LM_day06,area_SP_day06,area_WB_day06,area_TOT_day06,comp_LM_day06,comp_SP_day06,comp_WB_day06,area_LM_day08,area_SP_day08,area_WB_day08,area_TOT_day08,comp_LM_day08,comp_SP_day08,comp_WB_day08,area_LM_day10,area_SP_day10,area_WB_day10,area_TOT_day10,comp_LM_day10,comp_SP_day10,comp_WB_day10
E,6,high,SP & WB,0,39.926,53.977,93.903,0,42.5183434,57.4816566,0,49.916,76.558,126.474,0,39.46740041,60.53259959,0,79.94,137.124,217.064,0,36.82784801,63.17215199,0,118.717,174.006,292.723,0,40.55608886,59.44391114,0,167.872,239.733,407.605,0,41.18497074,58.81502926,0,224.168,216.113,440.281,0,50.91475671,49.08524329
F,1,high,LM & SP & WB,36.183,39.078,26.601,101.862,35.52158803,38.36366849,26.11474348,51.484,58.001,45.733,155.218,33.16883351,37.3674445,29.46372199,106.085,108.749,72.773,287.607,36.88540265,37.81166661,25.30293074,168.514,178.059,113.545,460.118,36.62408339,38.69855124,24.67736537,226.938,230.46,126.711,584.109,38.85199509,39.45496474,21.69304017,269.479,271.377,99.908,640.764,42.05588953,42.35209843,15.59201204
F,2,high,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,3,high,LM,47.52,0,0,47.52,100,0,0,71.872,0,0,71.872,100,0,0,167.725,0,0,167.725,100,0,0,273.464,0,0,273.464,100,0,0,392.16,0,0,392.16,100,0,0,528.707,0,0,528.707,100,0,0
F,4,low,LM & SP & WB,27.186,33.844,27.079,88.109,30.85496374,38.41151301,30.73352325,29.482,38.969,45.074,113.525,25.96961022,34.32635983,39.70402995,44.406,47.698,49.49,141.594,31.36149837,33.68645564,34.95204599,51.996,58.367,56.046,166.409,31.24590617,35.07442506,33.67966877,58.134,63.616,55.554,177.304,32.78775437,35.87961919,31.33262645,57.491,58.444,37.872,153.807,37.37866287,37.99827056,24.62306657
F,5,low,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,6,low,LM,53.7,0,0,53.7,100,0,0,66.475,0,0,66.475,100,0,0,98.773,0,0,98.773,100,0,0,107.474,0,0,107.474,100,0,0,120.922,0,0,120.922,100,0,0,113.662,0,0,113.662,100,0,0
G,1,low,SP,0,97.541,0,97.541,0,100,0,0,133.57,0,133.57,0,100,0,0,155.766,0,155.766,0,100,0,0,166.082,0,166.082,0,100,0,0,170.874,0,170.874,0,100,0,0,173.452,0,173.452,0,100,0
G,2,low,WB,0,0,70.231,70.231,0,0,100,0,0,97.372,97.372,0,0,100,0,0,104.429,104.429,0,0,100,0,0,87.545,87.545,0,0,100,0,0,93.12,93.12,0,0,100,0,0,81.842,81.842,0,0,100
G,3,low,LM & SP,38.419,44.405,0,82.824,46.38631315,53.61368685,0,46.413,53.608,0,100.021,46.40325532,53.59674468,0,53.307,59.423,0,112.73,47.28732369,52.71267631,0,56.668,61.192,0,117.86,48.0807738,51.9192262,0,51.446,67.997,0,119.443,43.07159063,56.92840937,0,41.813,67.046,0,108.859,38.4102371,61.5897629,0
