plate,well,nutrients,treatment,LM0,SP0,WB0,TOT0,LM2,SP2,WB2,TOT2,LM4,SP4,WB4,TOT4,LM6,SP6,WB6,TOT6,LM8,SP8,WB8,TOT8,LM10,SP10,WB10,TOT10
O,2,low,WB,0,0,73.771,73.771,0,0,79.923,79.923,0,0,81.836,81.836,0,0,66.877,66.877,0,0,79.494,79.494,0,0,62.883,62.883
O,3,low,LMSP,24.784,43.515,0,68.299,35.253,46.903,0,82.156,44.557,52.471,0,97.028,49.102,53.798,0,102.9,58.792,55.965,0,114.757,72.366,53.52,0,125.886
O,4,high,SP,0,63.006,0,63.006,0,70.388,0,70.388,0,97.664,0,97.664,0,129.422,0,129.422,0,204.955,0,204.955,0,312.065,0,312.065
O,5,high,WB,0,0,58.727,58.727,0,0,90.807,90.807,0,0,149.02,149.02,0,0,223.276,223.276,0,0,395.969,395.969,0,0,423.779,423.779
O,6,high,LMSP,30.936,40.43,0,71.366,50.392,51.356,0,101.748,91.183,98.414,0,189.597,142.561,149.098,0,291.659,205.644,205.576,0,411.22,271.584,234.425,0,506.009
P,1,high,LMWB,35.671,0,39.903,75.574,61.67,0,61.988,123.658,102.12,0,94.902,197.022,164.596,0,156.584,321.18,214.132,0,155.614,369.746,272.998,0,164.055,437.053
P,2,high,SPWB,0,49.888,47.891,97.779,0,64.288,74.371,138.659,0,110.493,111.292,221.785,0,179.028,191.699,370.727,0,257.981,215.07,473.051,0,342.124,241.394,583.518
P,3,high,LMSPWB,28.572,41.88,48.929,119.381,58.636,56.465,58.002,173.103,86.831,76.611,87.208,250.65,132.045,109.512,107.744,349.301,171.849,148.673,99.259,419.781,224.923,176.201,104.568,505.692
P,4,low,LMWB,42.424,0,58.885,101.309,58.854,0,69.166,128.02,67.944,0,57.4,125.344,77.846,0,55.343,133.189,86.578,0,52.181,138.759,88.766,0,49.958,138.724
P,5,low,SPWB,0,60.18,48.405,108.585,0,81.748,66.102,147.85,0,90.142,46.599,136.741,0,107.513,41.996,149.509,0,116.68,35.72,152.4,0,119.549,25.789,145.338
P,6,low,LMSPWB,27.673,31.044,58.104,116.821,36.179,34.325,54.383,124.887,41.862,37.51,49.706,129.078,43.847,39.796,46.091,129.734,46.73,34.609,37.573,118.912,50.307,37.601,37.158,125.066
